segment_id,segment_idx,EventId,latitude,longitude,latitudeX,longitudeX,suburb,latitude_suburb,longitude_suburb,Rnk
0QR8FDW,seg_011,107769,-33.944788080000002,18.46551848,-33.945,18.466000000000001,Cape Town Ward 57,-33.944992399999997,18.461273202271901,1
1G21L7Q,seg_021,95100,-33.868126969999999,18.529698700000001,-33.868000000000002,18.530000000000001,Milnerton,-33.879444399999997,18.496388899999999,1
1K4ZYII,seg_023,125285,-33.975682310000003,18.581002909999999,-33.975999999999999,18.581,Cape Town Ward 40,-33.972198949999999,18.571633856095801,1
1VFLTND,seg_029,63472,-34.138446950000002,18.93221166,-34.137999999999998,18.931999999999999,Cape Town Ward 84,-34.076558200000001,18.9242942496113,1
2M4LCU0,seg_036,68808,-33.890828620000001,18.55063797,-33.890999999999998,18.550999999999998,Tygerdal,-33.89412085,18.545925882812501,1
2YQQ9WS,seg_042,109242,-33.960564910000002,18.558552110000001,-33.960999999999999,18.559000000000001,Heideveld,-33.9641667,18.548888900000001,1
3GCD5AD,seg_048,82072,-34.048688149999997,18.75756728,-34.048999999999999,18.757999999999999,Cape Town Ward 109,-34.061419000000001,18.762202924078899,1
3MW0MN9,seg_051,92206,-34.129147779999997,18.93468803,-34.128999999999998,18.934999999999999,Cape Town Ward 84,-34.076558200000001,18.9242942496113,1
3VORNT0,seg_054,145985,-33.8443641,18.716616649999999,-33.844000000000001,18.716999999999999,Cape Town Ward 102,-33.858317550000002,18.681315885458901,1
43RCYZH,seg_058,151042,-33.726606230000002,19.125229650000001,-33.726999999999997,19.125,Drakenstein Ward 25,-33.795799199999998,19.1673694532711,1
4K0TGLP,seg_063,124680,-34.008031670000001,18.649777100000001,-34.008000000000003,18.649999999999999,Cape Town Ward 114,-33.999112349999997,18.6574352506926,1
4T821GV,seg_068,150146,-33.787183919999997,18.92890993,-33.786999999999999,18.928999999999998,Stellenbosch Ward 18,-33.816676999999999,18.8722946586002,1
